matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
EternityII_A,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 9.69118 ms,9.69118,11.6797
EternityII_E,sddmm,1 4 1 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 16 = 10.9671 ms,10.9671,19.1951
EternityII_Etilde,sddmm,1 2 1 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 16 = 10.2244 ms,10.2244,13.1833
F2,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 12.3219 ms,12.3219,12.6623
FEM_3D_thermal1,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 8.94106 ms,8.94106,8.99807
FEM_3D_thermal2,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 11.8336 ms,11.8336,12.6327
FX_March2010,sddmm,16384 1 1 j1 j0 i1 i0 k1 k0 1 0 1 1 j1 48 4 = 8.89963 ms,8.89963,9.83009
Franz11,sddmm,4 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 5.54881 ms,5.54881,9.08903
Franz8,sddmm,1 16 128 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 1 = 8.67026 ms,8.67026,8.77015
G2_circuit,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 10.9182 ms,10.9182,11.9839
G3_circuit,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 0 0 0 1 i1 48 32 = 36.0081 ms,36.0081,47.0802
GL7d13,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 9.20679 ms,9.20679,9.14079
GL7d14,sddmm,4 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 12.809 ms,12.809,11.5542
GL7d15,sddmm,2 1 1 i1 i0 j1 j0 k1 k0 0 1 0 1 i1 48 8 = 32.2117 ms,32.2117,35.9757
GL7d23,sddmm,1 1 16 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 32 = 19.0147 ms,19.0147,23.1479
GL7d24,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 9.8824 ms,9.8824,11.0003
GT01R,sddmm,65536 1 1 j1 j0 i1 i0 k1 k0 1 0 0 0 j1 48 2 = 0.561267 ms,0.561267,8.95523
G_n_pin_pout,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 11.6113 ms,11.6113,12.7788
Ga10As10H30,sddmm,32768 8 64 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 2 = 14.0503 ms,14.0503,14.2636
Ga3As3H12,sddmm,32768 8 64 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 2 = 12.6487 ms,12.6487,12.9602
GaAsH6,sddmm,32768 8 64 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 2 = 11.2909 ms,11.2909,11.4297
Ge87H76,sddmm,32768 8 64 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 2 = 14.7353 ms,14.7353,15.2051
H2O,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 11.0739 ms,11.0739,11.0007
HEP-th-new,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 9.0795 ms,9.0795,9.15067
HEP-th,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 9.0456 ms,9.0456,9.09638
HFE18_96_in,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 1 0 0 1 j1 48 16 = 9.06123 ms,9.06123,8.97741
HTC_336_4438,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 4 = 13.239 ms,13.239,14.4987
HTC_336_9129,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 4 = 13.2414 ms,13.2414,15.027
