matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
EternityII_E,spmm,1 2 1 i1 i0 k1 k0 j1 j0 1 1 0 0 i1 48 8 = 17.188 ms,17.188,18.9293
EternityII_Etilde,spmm,1 1 64 i1 i0 j1 k1 k0 j0 1 1 0 0 i1 48 16 = 12.313 ms,12.313,13.0957
F2,spmm,2 1 64 i1 k1 j1 k0 i0 j0 1 1 0 0 i1 48 64 = 11.9374 ms,11.9374,12.8347
FEM_3D_thermal1,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.90554 ms,8.90554,8.99137
FEM_3D_thermal2,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 11.6739 ms,11.6739,13.2526
FX_March2010,spmm,1 1024 1 i1 i0 k1 k0 j1 j0 0 1 1 0 i1 48 2 = 8.97352 ms,8.97352,9.75182
Franz11,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 9.06064 ms,9.06064,9.19889
Franz8,spmm,32 128 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 8.67974 ms,8.67974,8.74314
G2_circuit,spmm,2 1 128 i1 i0 j1 k1 k0 j0 1 0 0 0 i1 48 64 = 11.6474 ms,11.6474,12.928
G3_circuit,spmm,4096 1 64 i1 i0 k1 j1 k0 j0 1 0 0 1 i1 48 1 = 41.5674 ms,41.5674,52.0006
GL7d13,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 9.0582 ms,9.0582,9.14689
GL7d14,spmm,1 1 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 128 = 11.4394 ms,11.4394,12.261
GL7d15,spmm,4 1 64 i1 i0 j1 k1 k0 j0 0 0 0 0 i1 48 16 = 32.0577 ms,32.0577,35.1388
GL7d23,spmm,16 1 128 i1 i0 j1 k1 k0 j0 1 1 0 0 i1 48 4 = 19.9993 ms,19.9993,22.727
GL7d24,spmm,1 1 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 128 = 9.9312 ms,9.9312,10.86
GT01R,spmm,2 8 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 8 = 8.92856 ms,8.92856,8.95213
G_n_pin_pout,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 11.9239 ms,11.9239,13.3408
Ga10As10H30,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.3276 ms,13.3276,14.1785
Ga3As3H12,spmm,32 8 1 i1 k1 k0 i0 j1 j0 1 0 0 1 i1 48 4 = 11.888 ms,11.888,12.9753
GaAsH6,spmm,32 8 1 i1 k1 k0 i0 j1 j0 1 0 0 1 i1 48 4 = 10.812 ms,10.812,11.4133
Ge87H76,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 14.0122 ms,14.0122,15.1151
H2O,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 10.5834 ms,10.5834,11.0908
HEP-th-new,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 9.00816 ms,9.00816,9.13699
HEP-th,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 8.99428 ms,8.99428,9.09192
HFE18_96_in,spmm,1 128 64 i1 k1 k0 j1 i0 j0 1 0 0 0 i1 48 8 = 9.18803 ms,9.18803,9.00236
HTC_336_4438,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 13.8053 ms,13.8053,15.6791
HTC_336_9129,spmm,1 1 128 i1 i0 k1 k0 j1 j0 1 1 0 0 i1 48 64 = 13.6449 ms,13.6449,15.667
Hamrle3,spmm,8192 1 128 i1 i0 k1 k0 j1 j0 1 0 0 1 i1 48 1 = 41.1003 ms,41.1003,49.0544
IG5-14,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.79957 ms,8.79957,8.87706
IG5-15,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 4 = 8.90336 ms,8.90336,9.02943
IG5-16,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 9.132 ms,9.132,9.16535
IG5-17,spmm,32 64 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 9.4473 ms,9.4473,9.5742
IG5-18,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 10.0691 ms,10.0691,10.2416
IMDB,spmm,2048 1 64 i1 i0 j1 k1 k0 j0 1 0 0 1 i1 48 1 = 27.2917 ms,27.2917,35.999
Ill_Stokes,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.87643 ms,8.87643,8.95216
Kemelmacher,spmm,8 32 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 8 = 8.77059 ms,8.77059,8.80125
Kuu,spmm,4 64 32 i1 k1 k0 j1 i0 j0 1 1 0 0 i1 48 4 = 8.90318 ms,8.90318,8.90459
LargeRegFile,spmm,8 1 2 i1 i0 k1 k0 j1 j0 0 0 0 1 i1 48 128 = 34.567 ms,34.567,42.8837
LeGresley_87936,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 10.4264 ms,10.4264,11.3225
Lin,spmm,2 1 128 i1 i0 j1 k1 k0 j0 1 0 0 0 i1 48 64 = 14.4432 ms,14.4432,15.5679
Linux_call_graph,spmm,16 1 128 i1 i0 j1 k1 k0 j0 1 1 0 0 i1 48 16 = 13.2932 ms,13.2932,15.2661
Maragal_6,spmm,4 32 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 9.01906 ms,9.01906,8.99607
Maragal_7,spmm,4 128 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 4 = 9.59066 ms,9.59066,9.60577
Maragal_8,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 10.1763 ms,10.1763,10.3536
Muu,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 8.74312 ms,8.74312,8.78563
NACA0015,spmm,1 1 128 i1 i0 k1 j1 k0 j0 0 0 0 1 i1 48 128 = 52.008 ms,52.008,60.2551
Na5,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 4 = 8.86596 ms,8.86596,8.88976
NotreDame_actors,spmm,16 1 128 i1 i0 j1 k1 k0 j0 1 1 0 0 i1 48 16 = 15.1066 ms,15.1066,16.7492
NotreDame_www,spmm,2 1 1 i1 i0 k1 k0 j1 j0 1 0 0 1 i1 48 256 = 11.5344 ms,11.5344,12.749
OPF_10000,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 9.12566 ms,9.12566,9.32362
OPF_3754,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 8.76573 ms,8.76573,8.80265
OPF_6000,spmm,2 1 64 i1 k1 j1 k0 i0 j0 1 1 0 0 i1 48 64 = 8.84793 ms,8.84793,8.97444
Pres_Poisson,spmm,2 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 64 = 8.97403 ms,8.97403,9.1011
RFdevice,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 9.94891 ms,9.94891,10.5663
Raj1,spmm,16 1 1 i1 i0 k1 k0 j1 j0 1 0 0 0 i1 48 8 = 14.5078 ms,14.5078,16.9027
Reuters911,spmm,8 16384 1 k1 i1 i0 k0 j1 j0 0 1 0 0 i1 48 2 = 8.88598 ms,8.88598,8.97694
Rucci1,spmm,1 1 128 i1 i0 k1 j1 k0 j0 0 0 0 1 i1 48 128 = 31.9175 ms,31.9175,42.9894
Si10H16,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 4 = 0.812086 ms,0.812086,9.21872
Si34H36,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 12.71 ms,12.71,13.4593
Si5H12,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 9.16953 ms,9.16953,9.24679
SiH4,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 4 = 8.79272 ms,8.79272,8.79752
SiNa,spmm,16 32 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.76422 ms,8.76422,8.80509
SiO,spmm,32 64 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 9.50047 ms,9.50047,9.60704
Stanford,spmm,2 1 128 i1 i0 j1 k1 k0 j0 1 0 0 0 i1 48 4 = 20.8578 ms,20.8578,23.4381
Stanford_Berkeley,spmm,4 1 128 i1 i0 k1 j1 k0 j0 0 0 0 1 i1 48 32 = 27.2893 ms,27.2893,31.8097
TF16,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 8.80868 ms,8.80868,8.95964
TF17,spmm,1 1 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 128 = 9.33073 ms,9.33073,9.56198
TF18,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 11.507 ms,11.507,13.1635
TF19,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 19.9675 ms,19.9675,23.2846
TSC_OPF_1047,spmm,4 2 32 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 4 = 9.67719 ms,9.67719,9.40226
TSC_OPF_300,spmm,4 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 9.17423 ms,9.17423,9.14259
TSOPF_FS_b162_c1,spmm,4 2 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 9.13579 ms,9.13579,9.04409
TSOPF_FS_b162_c3,spmm,4 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 9.95608 ms,9.95608,12.7744
TSOPF_FS_b162_c4,spmm,4 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 10.4683 ms,10.4683,15.7304
TSOPF_FS_b300,spmm,8 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 10.9344 ms,10.9344,21.3769
TSOPF_FS_b300_c1,spmm,8 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 10.9237 ms,10.9237,21.226
TSOPF_FS_b39_c19,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 4 = 12.1289 ms,12.1289,23.5529
TSOPF_FS_b39_c30,spmm,16 32 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 19.9362 ms,19.9362,52.418
TSOPF_FS_b39_c7,spmm,2 8 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 8 = 9.1205 ms,9.1205,9.60268
TSOPF_FS_b9_c6,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 4 = 8.8339 ms,8.8339,8.79415
TSOPF_RS_b162_c1,spmm,4 2 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 4 = 8.78007 ms,8.78007,8.74815
TSOPF_RS_b162_c3,spmm,2 8 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 8 = 9.07721 ms,9.07721,9.06493
TSOPF_RS_b162_c4,spmm,4 2 32 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 8 = 9.24026 ms,9.24026,9.16945
TSOPF_RS_b2052_c1,spmm,8 4 64 i1 k1 j1 i0 k0 j0 0 1 0 1 i1 48 2 = 11.7008 ms,11.7008,12.3186
TSOPF_RS_b300_c1,spmm,8 4 64 i1 k1 j1 i0 k0 j0 0 1 0 1 i1 48 2 = 9.4956 ms,9.4956,9.61342
TSOPF_RS_b300_c2,spmm,8 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 10.3405 ms,10.3405,10.4327
TSOPF_RS_b300_c3,spmm,8 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 11.2405 ms,11.2405,11.365
TSOPF_RS_b39_c19,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 9.08739 ms,9.08739,9.1832
TSOPF_RS_b39_c30,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 9.21258 ms,9.21258,9.93079
TSOPF_RS_b39_c7,spmm,2 1 128 i1 j1 k1 k0 i0 j0 1 1 0 0 i1 48 4 = 8.82716 ms,8.82716,8.87116
TSOPF_RS_b678_c1,spmm,8 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 10.6441 ms,10.6441,10.9961
Trec12,spmm,1 128 64 i1 k1 k0 j1 i0 j0 1 0 0 0 i1 48 8 = 8.65602 ms,8.65602,8.59584
Trec13,spmm,1 16384 1 k1 i1 k0 i0 j1 j0 0 1 0 0 i1 48 8 = 9.02281 ms,9.02281,8.58324
Trec14,spmm,4 64 1 i1 k1 i0 k0 j1 j0 1 0 0 0 i1 48 2 = 10.5197 ms,10.5197,10.3388
Trefethen_20000,spmm,1 1 128 i1 j1 i0 k1 k0 j0 1 0 0 0 i1 48 64 = 9.01163 ms,9.01163,9.16492
Trefethen_20000b,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 9.04999 ms,9.04999,9.15456
Wordnet3,spmm,16 1 1 i1 i0 k1 k0 j1 j0 1 0 0 0 i1 48 8 = 9.2838 ms,9.2838,9.55776
Zd_Jac2,spmm,8 4 64 i1 k1 k0 i0 j1 j0 1 0 0 1 i1 48 2 = 9.54268 ms,9.54268,9.69303
Zd_Jac2_db,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 9.01062 ms,9.01062,9.15605
Zd_Jac3,spmm,8 4 64 i1 k1 k0 i0 j1 j0 1 0 0 1 i1 48 2 = 9.6206 ms,9.6206,9.81403
Zd_Jac3_db,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 9.03818 ms,9.03818,9.16166
Zd_Jac6,spmm,16 4 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 9.49184 ms,9.49184,9.70246
Zd_Jac6_db,spmm,8 4 64 i1 k1 k0 i0 j1 j0 1 0 0 1 i1 48 2 = 0.589369 ms,0.589369,5.07266
Zhao1,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 8.89888 ms,8.89888,9.00828
Zhao2,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 8.90609 ms,8.90609,9.03418
a0nsdsil,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 10.2039 ms,10.2039,10.7478
a2nnsnsl,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 10.1108 ms,10.1108,10.7652
a5esindl,spmm,32 64 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 9.50693 ms,9.50693,9.96053
abtaha2,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 8.83496 ms,8.83496,8.8223
af23560,spmm,2 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 64 = 8.96176 ms,8.96176,9.01806
aft01,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 8.68934 ms,8.68934,8.77816
aft02,spmm,8 4 64 i1 k1 k0 i0 j1 j0 1 0 0 1 i1 48 2 = 8.6909 ms,8.6909,8.74482
airfoil_2d,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 8.76447 ms,8.76447,8.93547
ak2010,spmm,1 1 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 128 = 9.11066 ms,9.11066,9.44544
al2010,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 14.1992 ms,14.1992,15.83
amazon-2008,spmm,2 1 1 i1 i0 k1 k0 j1 j0 1 0 0 1 i1 48 256 = 24.7522 ms,24.7522,32.871
amazon0302,spmm,1 1 1 i1 i0 k1 k0 j1 j0 1 0 0 1 i1 48 64 = 14.5449 ms,14.5449,15.8291
amazon0312,spmm,8 1 64 i1 i0 j1 k1 k0 j0 0 0 0 0 i1 48 1 = 19.9992 ms,19.9992,24.358
amazon0505,spmm,16 1 64 i1 i0 j1 k1 k0 j0 0 0 0 0 i1 48 8 = 19.9989 ms,19.9989,25.1173
amazon0601,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 19.9986 ms,19.9986,25.0752
apache1,spmm,1 1 128 i1 j1 i0 k1 k0 j0 1 0 0 0 i1 48 64 = 10.3669 ms,10.3669,10.8941
apache2,spmm,32 16384 128 i1 i0 j1 k1 k0 j0 0 1 0 0 i1 48 16 = 24.1968 ms,24.1968,29.5695
appu,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 10.4776 ms,10.4776,10.5911
ar2010,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 12.5102 ms,12.5102,14.5997
as-caida,spmm,1 1 32 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 64 = 0.327479 ms,0.327479,8.90646
astro-ph,spmm,8 32 64 i1 k1 k0 j1 i0 j0 0 0 0 0 i1 48 8 = 8.89071 ms,8.89071,8.92831
aug3dcqp,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.86707 ms,8.86707,8.98795
auto,spmm,16 1 1 i1 i0 k1 k0 j1 j0 1 0 0 0 i1 48 8 = 35.9819 ms,35.9819,42.5652
av41092,spmm,2 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 64 = 9.52905 ms,9.52905,9.99615
az2010,spmm,1 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 256 = 13.8302 ms,13.8302,16.0564
barrier2-1,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.6475 ms,13.6475,16.4344
barrier2-10,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.5586 ms,13.5586,16.6379
barrier2-11,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.5756 ms,13.5756,16.5037
barrier2-12,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.5715 ms,13.5715,16.3922
barrier2-2,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.4713 ms,13.4713,16.3806
barrier2-3,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.7373 ms,13.7373,16.4326
barrier2-4,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.5554 ms,13.5554,16.4521
barrier2-9,spmm,32 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 4 = 13.8435 ms,13.8435,16.5336
bas1lp,spmm,4 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 8 = 8.8906 ms,8.8906,8.94844
